"Timestamp","Стать респондента","Рік народження","Скільки часу ви проживаєте у місті Володимир","Ваш рід занять","Рівень доходу","Яку частину доходу ви витрачаєте на діяльсть пов'язану з туризмом та сферою обслуговування ","Як ви ставитесь до візитів хасидів до Володимира?","Як ви ставитесь до туристів з Польщі?","Як ви ставитесь до туристів з інших країн?","На вашу думку який у вас рівень володіння англійською мовою?","На вашу думку який у вас рівень володіння польською мовою?","Чи достатньо, на вашу думку, у Володимирі готелей, для розміщення туристів чи туристичних груп?","Чи достатньо, на вашу думку, у Володимирі закладів харчування?","Чи вважаєте ви, що Володимир достатньо представлений в інтернеті як туристичне місто?"," Які туристичні об’єкти у Володимирі є, на вашу думку, ключовими для приваблення туристів?","Які зміни в туристичній інфраструктурі ви вважаєте найбільш необхідними? (можна кілька варіантів)","Які об’єкти, на вашу думку, слід відкрити чи розвинути у Володимирі, щоб туристи залишалися довше? (можна кілька варіантів)"
"2025/09/09 12:04:35 PM GMT+3","Жіноча","2001","5-10 років","Працівник","до 10 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Ні","Так","Ні","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/09 12:09:48 PM GMT+3","Жіноча","1969","більше 20 років","Працівник","до 10 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Так","Так","Частково","Вали городища;Храми","Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR)"
"2025/09/09 1:09:59 PM GMT+3","Чоловіча","1996","більше 20 років","Військовослужбовець","20 000 грн - 40 000 грн","5%-10%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","початковий (A1)","Ні","Частково","Частково","Вали городища;Храми;Вежа на консервному заводі;Центральна площа","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/09 3:29:54 PM GMT+3","Жіноча","1961","більше 20 років","Приватний підприємець","20 000 грн - 40 000 грн","10%-20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","просунутий (C1)","елементарний (A2)","Частково","Так","Ні","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел"
"2025/09/09 3:49:25 PM GMT+3","Жіноча","1957","більше 20 років","Пенсіонер","до 10 000 грн","до 5%","На мене це ніяк не впливає","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Так","Так","Частково","Вали городища;Храми","Організація нових культурних та розважальних подій","Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена)"
"2025/09/09 3:52:53 PM GMT+3","Жіноча","2005","10-20 років","Працівник","10 000 грн - 20 000 грн","10%-20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","елементарний (A2)","Так","Так","Частково","Вали городища;Храми;Центральна площа","Організація нових культурних та розважальних подій;Піша доріжка, яка обєднуватиме туристичні об'єкти","Лазертаг, боулінг, кінотеатр;Музей з інтерактивними технологіями (VR/AR);Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/09 4:36:39 PM GMT+3","Жіноча","1983","більше 20 років","Працівник","до 10 000 грн","5%-10%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","Частково","Так","Ні","Вали городища;Храми","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Майданчик для регулярних ярмарків"
"2025/09/09 5:15:17 PM GMT+3","Чоловіча","1997","більше 20 років","Тимчасово не працюю","20 000 грн - 40 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Так","Ні","Вежа на консервному заводі;Центральна площа","Організація нових культурних та розважальних подій","Літературно-мистецький простір (книгарня-кав’ярня, сцена)"
"2025/09/09 7:17:59 PM GMT+3","Жіноча","1982","більше 20 років","Приватний підприємець","20 000 грн - 40 000 грн","до 5%","На мене це ніяк не впливає","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Так","Частково","Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел"
"2025/09/10 12:32:30 PM GMT+3","Жіноча","1983","більше 20 років","Приватний підприємець","> 100 000 грн","10%-20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","елементарний (A2)","Ні","Так","Так","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел"
"2025/09/10 1:48:03 PM GMT+3","Чоловіча","1994","менше 2 років","Працівник","20 000 грн - 40 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","досконалий (C2)","Частково","Частково","Ні","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом;Майданчик для регулярних ярмарків"
"2025/09/10 4:20:54 PM GMT+3","Чоловіча","1995","10-20 років","Військовослужбовець","40 000 грн - 60 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","елементарний (A2)","Ні","Так","Ні","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Торгово-розважальний центр"
"2025/09/10 5:17:51 PM GMT+3","Жіноча","1980","більше 20 років","Працівник","40 000 грн - 60 000 грн",">20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","","Ні","Так","Ні","Вали городища","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби)","Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Майданчик для регулярних ярмарків"
"2025/09/10 5:30:11 PM GMT+3","Чоловіча","2000","5-10 років","Працівник","20 000 грн - 40 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Так","Так","Так","Вали городища;Храми;Вежа на консервному заводі;Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби)","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею"
"2025/09/11 1:34:05 PM GMT+3","Жіноча","1991","5-10 років","Працівник","10 000 грн - 20 000 грн","5%-10%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","середній (B1)","елементарний (A2)","Так","Так","Ні","Вали городища;Центральна площа","Покращення доріг і транспортного сполучення;Більше екскурсій та гідів, в тому числі іноземними мовами","МакДональдс чи інший fast-food;Літературно-мистецький простір (книгарня-кав’ярня, сцена)"
"2025/09/11 1:38:35 PM GMT+3","Жіноча","1997","менше 2 років","Працівник","10 000 грн - 20 000 грн",">20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Частково","Так","Ні","Вали городища;Храми;Центральна площа","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/11 1:51:36 PM GMT+3","Жіноча","1995","10-20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","просунутий (C1)","Ні","Так","Ні","Вали городища;Храми;Центральна площа","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами","Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Майданчик для регулярних ярмарків"
"2025/09/11 2:06:21 PM GMT+3","Жіноча","1983","більше 20 років","Приватний підприємець","40 000 грн - 60 000 грн",">20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","елементарний (A2)","Ні","Так","Ні","Таких немає","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Лазертаг, боулінг, кінотеатр;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Центр історії княжого Володимира;Торгово-розважальний центр"
"2025/09/11 2:07:29 PM GMT+3","Жіноча","1995","більше 20 років","Працівник","10 000 грн - 20 000 грн","10%-20%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","середній (B1)","Ні","Так","Ні","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/11 2:44:22 PM GMT+3","Жіноча","1989","більше 20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","На мене це ніяк не впливає","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","середній (B1)","елементарний (A2)","Частково","Так","Ні","Вали городища;Храми;Заклади харчування;Вежа на консервному заводі;Центральна площа","Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел"
"2025/09/11 4:19:17 PM GMT+3","Жіноча","1981","більше 20 років","Працівник","до 10 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","середній (B1)","Так","Так","Ні","Вали городища;Храми;Центральна площа","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/11 5:15:33 PM GMT+3","Чоловіча","2007","10-20 років","Студент","до 10 000 грн","5%-10%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","елементарний (A2)","Частково","Так","Ні","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр"
"2025/09/11 5:26:03 PM GMT+3","Чоловіча","1974","більше 20 років","Працівник","10 000 грн - 20 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","Частково","Так","Частково","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/11 7:16:51 PM GMT+3","Жіноча","1992","більше 20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Ні","Так","Ні","Вали городища;Храми;Заклади харчування;Центральна площа","Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Парк пригод (мотузковий, zip-line)"
"2025/09/11 8:56:33 PM GMT+3","Жіноча","1997","10-20 років","Тимчасово не працюю","20 000 грн - 40 000 грн","5%-10%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","середній (B1)","елементарний (A2)","Ні","Ні","Ні","Таких немає","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Торгово-розважальний центр"
"2025/09/11 9:58:01 PM GMT+3","Жіноча","1986","більше 20 років","Тимчасово не працюю","20 000 грн - 40 000 грн",">20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","просунутий (C1)","початковий (A1)","Ні","Ні","Ні","Вали городища;Таких немає","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні","Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел"
"2025/09/11 11:41:29 PM GMT+3","Чоловіча","91","більше 20 років","Приватний підприємець","20 000 грн - 40 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","Ні","Ні","Ні","Храми","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Контактний зоопарк / міні-ферма для дітей;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/12 12:29:05 AM GMT+3","Жіноча","1981","більше 20 років","Працівник","","10%-20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","Ні","Так","Ні","Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/12 12:11:42 PM GMT+3","Жіноча","2001","більше 20 років","Тимчасово не працюю","до 10 000 грн","до 5%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","елементарний (A2)","елементарний (A2)","Частково","Частково","Частково","Таких немає","Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Торгово-розважальний центр"
"2025/09/12 12:18:30 PM GMT+3","Чоловіча","2002","більше 20 років","Працівник","до 10 000 грн","до 5%","На мене це ніяк не впливає","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Частково","Так","Так","Вали городища;Храми","Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні","Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Літературно-мистецький простір (книгарня-кав’ярня, сцена);Майданчик для регулярних ярмарків"
"2025/09/12 2:00:48 PM GMT+3","Чоловіча","","більше 20 років","Працівник","20 000 грн - 40 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","середній (B1)","Ні","Ні","Частково","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/17 3:37:06 PM GMT+3","Чоловіча","1990","більше 20 років","Працівник","20 000 грн - 40 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","середній (B1)","Ні","Ні","Ні","Таких немає","Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line)"
"2025/09/17 5:12:11 PM GMT+3","Жіноча","2012","10-20 років","Учень","до 10 000 грн","до 5%","На мене це ніяк не впливає","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","елементарний (A2)","елементарний (A2)","Так","Ні","Частково","Вали городища;Храми;Центральна площа","Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Лазертаг, боулінг, кінотеатр;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Сувенірні крамниці, майстерні ремесел"
"2025/09/18 3:33:47 PM GMT+3","Жіноча","1990","менше 2 років","Працівник","10 000 грн - 20 000 грн","10%-20%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","середній (B1)","Ні","Ні","Ні","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Лазертаг, боулінг, кінотеатр;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/19 4:53:52 PM GMT+3","Жіноча","1980","більше 20 років","Приватний підприємець","до 10 000 грн","5%-10%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","На мене це ніяк не впливає","На мене це ніяк не впливає","початковий (A1)","середній (B1)","Ні","Так","Частково","Вали городища;Храми;Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/19 5:02:14 PM GMT+3","Чоловіча","1970","більше 20 років","Тимчасово не працюю","до 10 000 грн",">20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","вище середнього (B2)","Частково","Так","Ні","Храми","Краще туристичне зонування та навігація (вказівники, карти)","Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира"
"2025/09/19 5:10:37 PM GMT+3","Жіноча","1986","10-20 років","Приватний підприємець","20 000 грн - 40 000 грн","5%-10%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","початковий (A1)","Ні","Так","Частково","Вали городища;Храми;Заклади харчування;Центральна площа","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Сувенірні крамниці, майстерні ремесел"
"2025/09/19 5:14:37 PM GMT+3","Жіноча","1982","більше 20 років","Працівник","10 000 грн - 20 000 грн",">20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Так","Так","Ні","Вали городища;Храми","Покращення доріг і транспортного сполучення;Краще туристичне зонування та навігація (вказівники, карти);Піша доріжка, яка обєднуватиме туристичні об'єкти","Центр історії княжого Володимира;Майданчик для регулярних ярмарків"
"2025/09/19 5:29:42 PM GMT+3","Чоловіча","1980","більше 20 років","Працівник","10 000 грн - 20 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Ні","Так","Ні","Храми","Організація нових культурних та розважальних подій","Лазертаг, боулінг, кінотеатр;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line)"
